validdate;t_2m:C;wind_speed_10m:kmh;relative_humidity_2m:p
1999-01-01T00:00:00Z;-25.5;15.1;79.8
1999-01-02T00:00:00Z;-25.9;16.0;79.7
1999-01-03T00:00:00Z;-21.8;36.3;77.5
1999-01-04T00:00:00Z;-19.2;25.5;79.5
1999-01-05T00:00:00Z;-21.8;18.9;81.1
1999-01-06T00:00:00Z;-25.3;10.7;82.9
1999-01-07T00:00:00Z;-27.8;9.4;82.7
1999-01-08T00:00:00Z;-28.5;15.8;76.8
1999-01-09T00:00:00Z;-28.1;19.9;76.3
1999-01-10T00:00:00Z;-26.4;23.9;77.4
1999-01-11T00:00:00Z;-22.9;16.6;81.6
1999-01-12T00:00:00Z;-27.8;13.9;81.1
1999-01-13T00:00:00Z;-25.4;6.3;78.2
1999-01-14T00:00:00Z;-25.8;23.6;76.3
1999-01-15T00:00:00Z;-24.0;29.5;79.8
1999-01-16T00:00:00Z;-22.2;27.3;78.5
1999-01-17T00:00:00Z;-21.6;21.5;79.2
1999-01-18T00:00:00Z;-20.4;6.5;76.8
1999-01-19T00:00:00Z;-24.3;11.1;81.3
1999-01-20T00:00:00Z;-26.6;25.4;73.8
1999-01-21T00:00:00Z;-28.3;35.7;73.8
1999-01-22T00:00:00Z;-30.1;20.3;75.3
1999-01-23T00:00:00Z;-30.8;13.6;75.7
1999-01-24T00:00:00Z;-21.7;35.2;79.2
1999-01-25T00:00:00Z;-20.9;48.8;75.7
1999-01-26T00:00:00Z;-27.9;34.7;72.5
1999-01-27T00:00:00Z;-29.4;20.8;75.2
1999-01-28T00:00:00Z;-30.4;20.4;76.5
1999-01-29T00:00:00Z;-28.9;24.8;78.5
1999-01-30T00:00:00Z;-30.9;6.3;55.5
1999-01-31T00:00:00Z;-33.4;7.4;70.4
1999-02-01T00:00:00Z;-29.4;29.0;71.5
1999-02-02T00:00:00Z;-27.0;46.2;76.6
1999-02-03T00:00:00Z;-26.9;38.5;76.8
1999-02-04T00:00:00Z;-29.7;22.9;75.6
1999-02-05T00:00:00Z;-30.5;13.4;75.8
1999-02-06T00:00:00Z;-30.6;12.1;77.2
1999-02-07T00:00:00Z;-30.6;4.3;78.9
1999-02-08T00:00:00Z;-29.2;9.3;73.6
1999-02-09T00:00:00Z;-30.3;24.1;75.5
1999-02-10T00:00:00Z;-33.9;16.5;73.1
1999-02-11T00:00:00Z;-33.5;11.6;77.5
1999-02-12T00:00:00Z;-29.9;26.2;74.9
1999-02-13T00:00:00Z;-24.1;20.8;76.7
1999-02-14T00:00:00Z;-25.7;8.8;80.5
1999-02-15T00:00:00Z;-25.3;27.8;78.2
1999-02-16T00:00:00Z;-23.6;41.0;79.6
1999-02-17T00:00:00Z;-18.7;30.1;83.2
1999-02-18T00:00:00Z;-15.4;24.6;87.1
1999-02-19T00:00:00Z;-16.5;20.9;86.4
1999-02-20T00:00:00Z;-21.6;5.4;80.2
1999-02-21T00:00:00Z;-19.4;12.3;82.8
1999-02-22T00:00:00Z;-20.4;12.6;80.7
1999-02-23T00:00:00Z;-22.6;19.0;78.5
1999-02-24T00:00:00Z;-21.0;25.9;80.8
1999-02-25T00:00:00Z;-21.7;30.8;79.8
1999-02-26T00:00:00Z;-22.6;31.1;77.0
1999-02-27T00:00:00Z;-24.9;26.7;77.1
1999-02-28T00:00:00Z;-26.4;15.1;77.2
1999-03-01T00:00:00Z;-26.7;7.5;77.2
1999-03-02T00:00:00Z;-25.5;14.5;78.2
1999-03-03T00:00:00Z;-23.1;12.0;77.6
1999-03-04T00:00:00Z;-25.7;8.0;78.9
1999-03-05T00:00:00Z;-24.7;20.4;78.1
1999-03-06T00:00:00Z;-20.9;18.5;82.0
1999-03-07T00:00:00Z;-25.7;9.5;78.6
1999-03-08T00:00:00Z;-26.3;18.3;76.4
1999-03-09T00:00:00Z;-27.0;8.2;71.8
1999-03-10T00:00:00Z;-28.9;12.0;75.4
1999-03-11T00:00:00Z;-28.9;13.4;74.2
1999-03-12T00:00:00Z;-28.6;15.0;76.3
1999-03-13T00:00:00Z;-23.6;23.6;77.5
1999-03-14T00:00:00Z;-22.6;12.9;73.6
1999-03-15T00:00:00Z;-21.6;11.9;76.1
1999-03-16T00:00:00Z;-18.8;7.2;83.6
1999-03-17T00:00:00Z;-19.3;9.4;82.8
1999-03-18T00:00:00Z;-19.9;13.1;74.8
1999-03-19T00:00:00Z;-20.5;14.6;80.8
1999-03-20T00:00:00Z;-19.0;12.4;81.6
1999-03-21T00:00:00Z;-22.1;18.4;80.8
1999-03-22T00:00:00Z;-19.8;21.5;81.1
1999-03-23T00:00:00Z;-20.7;31.4;77.6
1999-03-24T00:00:00Z;-19.6;42.7;78.4
1999-03-25T00:00:00Z;-22.0;49.7;76.5
1999-03-26T00:00:00Z;-23.9;44.7;74.5
1999-03-27T00:00:00Z;-25.8;34.7;71.7
1999-03-28T00:00:00Z;-26.7;23.8;72.0
1999-03-29T00:00:00Z;-26.9;21.9;71.9
1999-03-30T00:00:00Z;-25.0;19.5;75.2
1999-03-31T00:00:00Z;-25.1;20.0;74.2
1999-04-01T00:00:00Z;-24.7;23.8;76.1
1999-04-02T00:00:00Z;-23.7;30.2;77.9
1999-04-03T00:00:00Z;-23.3;14.2;77.5
1999-04-04T00:00:00Z;-22.8;5.4;76.9
1999-04-05T00:00:00Z;-20.8;9.9;76.4
1999-04-06T00:00:00Z;-19.0;31.7;81.9
1999-04-07T00:00:00Z;-15.9;19.9;80.0
1999-04-08T00:00:00Z;-16.8;12.1;79.5
1999-04-09T00:00:00Z;-20.2;19.3;77.2
1999-04-10T00:00:00Z;-22.5;21.7;75.6
1999-04-11T00:00:00Z;-22.9;29.4;76.2
1999-04-12T00:00:00Z;-23.3;28.8;74.9
1999-04-13T00:00:00Z;-23.6;11.8;75.2
1999-04-14T00:00:00Z;-23.1;8.4;72.8
1999-04-15T00:00:00Z;-23.2;9.3;75.1
1999-04-16T00:00:00Z;-22.5;29.3;75.8
