Sea Ice Surface Characteristics from High Resolution Reconnaissance Imagery data file - F. Fetterer
/disks/sue9/h/nsidc/sea_ice99/beaufo/tiff2/beaufo_1999aug06a_2c.tif
Fri Jun 27 13:24:23 2003
cell  ice   pond  owtr  water
0101  0.09  9.99  9.99  0.91
0102  0.05  9.99  9.99  0.95
0103  0.23  9.99  9.99  0.77
0104  0.26  9.99  9.99  0.74
0105  0.14  9.99  9.99  0.86
0106  0.28  9.99  9.99  0.72
0107  0.20  9.99  9.99  0.80
0108  0.00  9.99  9.99  1.00
0109  0.00  9.99  9.99  1.00
0110  0.00  9.99  9.99  1.00
0111  0.03  9.99  9.99  0.97
0112  0.12  9.99  9.99  0.88
0113  0.18  9.99  9.99  0.82
0114  0.18  9.99  9.99  0.82
0115  0.32  9.99  9.99  0.68
0116  0.34  9.99  9.99  0.66
0117  0.25  9.99  9.99  0.75
0118  0.35  9.99  9.99  0.65
0119  9.99  9.99  9.99  9.99
0120  9.99  9.99  9.99  9.99
0201  0.07  9.99  9.99  0.93
0202  0.24  9.99  9.99  0.76
0203  0.30  9.99  9.99  0.70
0204  0.30  9.99  9.99  0.70
0205  0.32  9.99  9.99  0.68
0206  0.26  9.99  9.99  0.74
0207  0.14  9.99  9.99  0.86
0208  0.13  9.99  9.99  0.87
0209  0.12  9.99  9.99  0.88
0210  0.03  9.99  9.99  0.97
0211  0.00  9.99  9.99  1.00
0212  0.09  9.99  9.99  0.91
0213  0.16  9.99  9.99  0.84
0214  0.17  9.99  9.99  0.83
0215  0.37  9.99  9.99  0.63
0216  0.23  9.99  9.99  0.77
0217  0.34  9.99  9.99  0.66
0218  0.39  9.99  9.99  0.61
0219  0.31  9.99  9.99  0.69
0220  9.99  9.99  9.99  9.99
0301  0.16  9.99  9.99  0.84
0302  0.30  9.99  9.99  0.70
0303  0.26  9.99  9.99  0.74
0304  0.23  9.99  9.99  0.77
0305  0.33  9.99  9.99  0.67
0306  0.28  9.99  9.99  0.72
0307  0.13  9.99  9.99  0.87
0308  0.01  9.99  9.99  0.99
0309  0.01  9.99  9.99  0.99
0310  0.12  9.99  9.99  0.88
0311  0.08  9.99  9.99  0.92
0312  0.09  9.99  9.99  0.91
0313  0.05  9.99  9.99  0.95
0314  0.06  9.99  9.99  0.94
0315  0.38  9.99  9.99  0.62
0316  0.36  9.99  9.99  0.64
0317  0.43  9.99  9.99  0.57
0318  0.47  9.99  9.99  0.53
0319  0.37  9.99  9.99  0.63
0320  0.45  9.99  9.99  0.55
0401  0.17  9.99  9.99  0.83
0402  0.19  9.99  9.99  0.81
0403  0.24  9.99  9.99  0.76
0404  0.26  9.99  9.99  0.74
0405  0.31  9.99  9.99  0.69
0406  0.30  9.99  9.99  0.70
0407  0.16  9.99  9.99  0.84
0408  0.09  9.99  9.99  0.91
0409  0.03  9.99  9.99  0.97
0410  0.04  9.99  9.99  0.96
0411  0.17  9.99  9.99  0.83
0412  0.07  9.99  9.99  0.93
0413  0.14  9.99  9.99  0.86
0414  0.29  9.99  9.99  0.71
0415  0.31  9.99  9.99  0.69
0416  0.30  9.99  9.99  0.70
0417  0.38  9.99  9.99  0.62
0418  0.36  9.99  9.99  0.64
0419  0.35  9.99  9.99  0.65
0420  0.45  9.99  9.99  0.55
0501  0.15  9.99  9.99  0.85
0502  0.25  9.99  9.99  0.75
0503  0.21  9.99  9.99  0.79
0504  0.20  9.99  9.99  0.80
0505  0.22  9.99  9.99  0.78
0506  0.23  9.99  9.99  0.77
0507  0.10  9.99  9.99  0.90
0508  0.13  9.99  9.99  0.87
0509  0.12  9.99  9.99  0.88
0510  0.13  9.99  9.99  0.87
0511  0.12  9.99  9.99  0.88
0512  0.00  9.99  9.99  1.00
0513  0.04  9.99  9.99  0.96
0514  0.42  9.99  9.99  0.58
0515  0.34  9.99  9.99  0.66
0516  0.32  9.99  9.99  0.68
0517  0.40  9.99  9.99  0.60
0518  0.38  9.99  9.99  0.62
0519  0.34  9.99  9.99  0.66
0520  0.38  9.99  9.99  0.62
0601  0.34  9.99  9.99  0.66
0602  0.26  9.99  9.99  0.74
0603  0.14  9.99  9.99  0.86
0604  0.19  9.99  9.99  0.81
0605  0.14  9.99  9.99  0.86
0606  0.28  9.99  9.99  0.72
0607  0.19  9.99  9.99  0.81
0608  0.13  9.99  9.99  0.87
0609  0.15  9.99  9.99  0.85
0610  0.07  9.99  9.99  0.93
0611  0.00  9.99  9.99  1.00
0612  0.00  9.99  9.99  1.00
0613  0.08  9.99  9.99  0.92
0614  0.40  9.99  9.99  0.60
0615  0.36  9.99  9.99  0.64
0616  0.30  9.99  9.99  0.70
0617  0.33  9.99  9.99  0.67
0618  0.42  9.99  9.99  0.58
0619  0.40  9.99  9.99  0.60
0620  0.40  9.99  9.99  0.60
0701  0.06  9.99  9.99  0.94
0702  0.04  9.99  9.99  0.96
0703  0.12  9.99  9.99  0.88
0704  0.18  9.99  9.99  0.82
0705  0.09  9.99  9.99  0.91
0706  0.12  9.99  9.99  0.88
0707  0.16  9.99  9.99  0.84
0708  0.01  9.99  9.99  0.99
0709  0.02  9.99  9.99  0.98
0710  0.02  9.99  9.99  0.98
0711  0.00  9.99  9.99  1.00
0712  0.00  9.99  9.99  1.00
0713  0.01  9.99  9.99  0.99
0714  0.29  9.99  9.99  0.71
0715  0.30  9.99  9.99  0.70
0716  0.37  9.99  9.99  0.63
0717  0.32  9.99  9.99  0.68
0718  0.31  9.99  9.99  0.69
0719  0.38  9.99  9.99  0.62
0720  0.37  9.99  9.99  0.63
0801  0.00  9.99  9.99  1.00
0802  0.00  9.99  9.99  1.00
0803  0.02  9.99  9.99  0.98
0804  0.03  9.99  9.99  0.97
0805  0.00  9.99  9.99  1.00
0806  0.00  9.99  9.99  1.00
0807  0.00  9.99  9.99  1.00
0808  0.00  9.99  9.99  1.00
0809  0.00  9.99  9.99  1.00
0810  0.04  9.99  9.99  0.96
0811  0.02  9.99  9.99  0.98
0812  0.27  9.99  9.99  0.73
0813  0.30  9.99  9.99  0.70
0814  0.41  9.99  9.99  0.59
0815  0.34  9.99  9.99  0.66
0816  0.34  9.99  9.99  0.66
0817  0.40  9.99  9.99  0.60
0818  0.36  9.99  9.99  0.64
0819  0.38  9.99  9.99  0.62
0820  0.38  9.99  9.99  0.62
0901  0.00  9.99  9.99  1.00
0902  0.00  9.99  9.99  1.00
0903  0.00  9.99  9.99  1.00
0904  0.00  9.99  9.99  1.00
0905  0.00  9.99  9.99  1.00
0906  0.00  9.99  9.99  1.00
0907  0.16  9.99  9.99  0.84
0908  0.15  9.99  9.99  0.85
0909  0.00  9.99  9.99  1.00
0910  0.03  9.99  9.99  0.97
0911  0.19  9.99  9.99  0.81
0912  0.42  9.99  9.99  0.58
0913  0.43  9.99  9.99  0.57
0914  0.29  9.99  9.99  0.71
0915  0.26  9.99  9.99  0.74
0916  0.41  9.99  9.99  0.59
0917  0.41  9.99  9.99  0.59
0918  0.39  9.99  9.99  0.61
0919  0.42  9.99  9.99  0.58
0920  0.38  9.99  9.99  0.62
1001  0.00  9.99  9.99  1.00
1002  0.00  9.99  9.99  1.00
1003  0.00  9.99  9.99  1.00
1004  0.00  9.99  9.99  1.00
1005  0.00  9.99  9.99  1.00
1006  0.00  9.99  9.99  1.00
1007  0.01  9.99  9.99  0.99
1008  0.01  9.99  9.99  0.99
1009  0.01  9.99  9.99  0.99
1010  0.21  9.99  9.99  0.79
1011  0.48  9.99  9.99  0.52
1012  0.41  9.99  9.99  0.59
1013  0.34  9.99  9.99  0.66
1014  0.33  9.99  9.99  0.67
1015  0.44  9.99  9.99  0.56
1016  0.40  9.99  9.99  0.60
1017  0.37  9.99  9.99  0.63
1018  0.34  9.99  9.99  0.66
1019  0.38  9.99  9.99  0.62
1020  0.39  9.99  9.99  0.61
1101  0.00  9.99  9.99  1.00
1102  0.00  9.99  9.99  1.00
1103  0.00  9.99  9.99  1.00
1104  0.00  9.99  9.99  1.00
1105  0.00  9.99  9.99  1.00
1106  0.00  9.99  9.99  1.00
1107  0.00  9.99  9.99  1.00
1108  0.00  9.99  9.99  1.00
1109  0.00  9.99  9.99  1.00
1110  0.00  9.99  9.99  1.00
1111  0.29  9.99  9.99  0.71
1112  0.40  9.99  9.99  0.60
1113  0.35  9.99  9.99  0.65
1114  0.27  9.99  9.99  0.73
1115  0.33  9.99  9.99  0.67
1116  0.35  9.99  9.99  0.65
1117  0.35  9.99  9.99  0.65
1118  0.38  9.99  9.99  0.62
1119  0.43  9.99  9.99  0.57
1120  0.34  9.99  9.99  0.66
1201  0.01  9.99  9.99  0.99
1202  0.06  9.99  9.99  0.94
1203  0.00  9.99  9.99  1.00
1204  0.01  9.99  9.99  0.99
1205  0.05  9.99  9.99  0.95
1206  0.00  9.99  9.99  1.00
1207  0.00  9.99  9.99  1.00
1208  0.00  9.99  9.99  1.00
1209  0.00  9.99  9.99  1.00
1210  0.00  9.99  9.99  1.00
1211  0.10  9.99  9.99  0.90
1212  0.41  9.99  9.99  0.59
1213  0.33  9.99  9.99  0.67
1214  0.37  9.99  9.99  0.63
1215  0.36  9.99  9.99  0.64
1216  0.26  9.99  9.99  0.74
1217  0.43  9.99  9.99  0.57
1218  0.44  9.99  9.99  0.56
1219  0.30  9.99  9.99  0.70
1220  0.41  9.99  9.99  0.59
1301  0.00  9.99  9.99  1.00
1302  0.03  9.99  9.99  0.97
1303  0.00  9.99  9.99  1.00
1304  0.00  9.99  9.99  1.00
1305  0.00  9.99  9.99  1.00
1306  0.00  9.99  9.99  1.00
1307  0.00  9.99  9.99  1.00
1308  0.00  9.99  9.99  1.00
1309  0.00  9.99  9.99  1.00
1310  0.00  9.99  9.99  1.00
1311  0.32  9.99  9.99  0.68
1312  0.46  9.99  9.99  0.54
1313  0.37  9.99  9.99  0.63
1314  0.44  9.99  9.99  0.56
1315  0.42  9.99  9.99  0.58
1316  0.44  9.99  9.99  0.56
1317  0.44  9.99  9.99  0.56
1318  0.37  9.99  9.99  0.63
1319  0.36  9.99  9.99  0.64
1320  0.44  9.99  9.99  0.56
1401  0.00  9.99  9.99  1.00
1402  0.01  9.99  9.99  0.99
1403  0.02  9.99  9.99  0.98
1404  0.00  9.99  9.99  1.00
1405  0.00  9.99  9.99  1.00
1406  0.00  9.99  9.99  1.00
1407  0.00  9.99  9.99  1.00
1408  0.00  9.99  9.99  1.00
1409  0.00  9.99  9.99  1.00
1410  0.00  9.99  9.99  1.00
1411  0.31  9.99  9.99  0.69
1412  0.49  9.99  9.99  0.51
1413  0.48  9.99  9.99  0.52
1414  0.40  9.99  9.99  0.60
1415  0.47  9.99  9.99  0.53
