validdate;t_2m:C;wind_speed_10m:kmh;relative_humidity_2m:p;direct_rad:W
1999-01-01T00:00:00Z;-25.1;31.4;78.4;0.0
1999-01-02T00:00:00Z;-25.2;5.3;77.8;0.0
1999-01-03T00:00:00Z;-27.0;25.5;80.4;0.0
1999-01-04T00:00:00Z;-27.9;19.0;77.0;0.0
1999-01-05T00:00:00Z;-27.2;8.8;76.3;0.0
1999-01-06T00:00:00Z;-29.3;19.1;76.2;0.0
1999-01-07T00:00:00Z;-29.5;26.3;75.9;0.0
1999-01-08T00:00:00Z;-30.0;15.5;75.5;0.0
1999-01-09T00:00:00Z;-26.9;3.0;71.6;0.0
1999-01-10T00:00:00Z;-29.3;20.8;75.6;0.0
1999-01-11T00:00:00Z;-26.0;26.5;76.4;0.0
1999-01-12T00:00:00Z;-28.5;23.1;76.4;0.0
1999-01-13T00:00:00Z;-29.0;17.6;76.2;0.0
1999-01-14T00:00:00Z;-27.4;26.6;81.7;0.0
1999-01-15T00:00:00Z;-28.6;14.9;77.3;0.0
1999-01-16T00:00:00Z;-29.1;14.1;82.7;0.0
1999-01-17T00:00:00Z;-32.2;10.9;74.4;0.0
1999-01-18T00:00:00Z;-33.8;9.9;73.3;0.0
1999-01-19T00:00:00Z;-32.8;17.2;73.4;0.0
1999-01-20T00:00:00Z;-29.2;19.9;75.8;0.0
1999-01-21T00:00:00Z;-20.6;17.9;84.5;0.0
1999-01-22T00:00:00Z;-19.4;14.4;84.1;0.0
1999-01-23T00:00:00Z;-27.7;49.0;74.5;0.0
1999-01-24T00:00:00Z;-25.4;40.7;77.4;0.0
1999-01-25T00:00:00Z;-27.2;32.2;77.2;0.0
1999-01-26T00:00:00Z;-22.2;51.0;79.5;0.0
1999-01-27T00:00:00Z;-28.7;19.1;76.5;0.0
1999-01-28T00:00:00Z;-33.3;8.8;73.0;0.0
1999-01-29T00:00:00Z;-33.8;14.9;73.1;0.0
1999-01-30T00:00:00Z;-32.9;29.7;72.9;0.0
1999-01-31T00:00:00Z;-30.6;24.3;74.7;0.0
1999-02-01T00:00:00Z;-31.8;18.5;73.9;0.0
1999-02-02T00:00:00Z;-27.9;33.4;76.8;0.0
1999-02-03T00:00:00Z;-21.8;36.1;80.4;0.0
1999-02-04T00:00:00Z;-26.9;26.3;72.9;0.0
