validdate;t_2m:C;wind_speed_10m:kmh;relative_humidity_2m:p;direct_rad:W
1999-01-01T00:00:00Z;-26.4;10.3;78.7;0.0
1999-01-02T00:00:00Z;-28.0;6.5;77.0;0.0
1999-01-03T00:00:00Z;-29.5;2.3;75.9;0.0
1999-01-04T00:00:00Z;-31.8;4.6;75.8;0.0
1999-01-05T00:00:00Z;-33.6;9.3;74.1;0.0
1999-01-06T00:00:00Z;-34.1;8.0;76.8;0.0
1999-01-07T00:00:00Z;-31.1;14.1;75.0;0.0
1999-01-08T00:00:00Z;-31.0;19.5;74.1;0.0
1999-01-09T00:00:00Z;-33.7;9.4;74.8;0.0
1999-01-10T00:00:00Z;-34.8;8.7;76.2;0.0
1999-01-11T00:00:00Z;-34.9;15.7;72.4;0.0
1999-01-12T00:00:00Z;-27.1;18.1;77.2;0.0
1999-01-13T00:00:00Z;-28.9;42.2;74.7;0.0
1999-01-14T00:00:00Z;-25.6;34.8;78.1;0.0
1999-01-15T00:00:00Z;-12.3;27.1;89.9;0.0
1999-01-16T00:00:00Z;-12.8;23.4;90.2;0.0
1999-01-17T00:00:00Z;-17.5;20.6;83.7;0.0
1999-01-18T00:00:00Z;-13.1;40.4;85.8;0.0
1999-01-19T00:00:00Z;-6.5;32.9;88.5;0.0
1999-01-20T00:00:00Z;-15.2;16.6;82.5;0.0
1999-01-21T00:00:00Z;-17.9;31.3;84.2;0.0
1999-01-22T00:00:00Z;-10.5;27.8;88.5;0.0
1999-01-23T00:00:00Z;-26.1;23.7;69.3;0.0
1999-01-24T00:00:00Z;-28.3;12.0;76.3;0.0
1999-01-25T00:00:00Z;-29.6;20.0;76.0;0.0
1999-01-26T00:00:00Z;-28.9;11.9;76.6;0.0
1999-01-27T00:00:00Z;-29.8;20.0;75.6;0.0
1999-01-28T00:00:00Z;-27.5;28.1;76.7;0.0
1999-01-29T00:00:00Z;-27.1;12.2;77.5;0.0
1999-01-30T00:00:00Z;-24.6;2.2;77.6;0.0
1999-01-31T00:00:00Z;-21.9;29.6;80.4;0.0
1999-02-01T00:00:00Z;-19.8;34.8;82.0;0.0
1999-02-02T00:00:00Z;-14.1;39.6;85.6;0.0
1999-02-03T00:00:00Z;-17.8;28.6;84.2;0.0
1999-02-04T00:00:00Z;-8.4;43.2;86.7;0.0
1999-02-05T00:00:00Z;-21.5;15.6;77.1;0.0
1999-02-06T00:00:00Z;-25.7;12.6;80.5;0.0
1999-02-07T00:00:00Z;-27.0;13.0;77.2;0.0
1999-02-08T00:00:00Z;-26.1;23.2;78.0;0.0
1999-02-09T00:00:00Z;-29.1;15.3;76.1;0.0
1999-02-10T00:00:00Z;-31.2;15.2;76.4;0.0
1999-02-11T00:00:00Z;-32.5;14.6;74.0;0.0
1999-02-12T00:00:00Z;-30.7;11.9;75.6;0.0
1999-02-13T00:00:00Z;-32.8;8.5;76.4;0.0
1999-02-14T00:00:00Z;-31.7;29.8;73.4;0.0
1999-02-15T00:00:00Z;-34.6;29.0;71.9;0.0
1999-02-16T00:00:00Z;-32.3;23.4;76.7;0.0
1999-02-17T00:00:00Z;-31.0;25.3;78.4;0.0
1999-02-18T00:00:00Z;-32.8;28.9;74.1;0.0
1999-02-19T00:00:00Z;-33.7;31.3;73.3;0.0
1999-02-20T00:00:00Z;-29.2;24.6;77.3;0.0
1999-02-21T00:00:00Z;-26.8;14.5;87.2;0.0
1999-02-22T00:00:00Z;-26.5;22.5;80.8;0.0
1999-02-23T00:00:00Z;-27.7;13.9;78.2;0.0
1999-02-24T00:00:00Z;-29.1;17.5;87.0;0.0
