validdate;t_2m:C;wind_speed_10m:kmh;relative_humidity_2m:p;direct_rad:W
1999-01-01T00:00:00Z;-22.6;23.7;80.1;0.0
1999-01-02T00:00:00Z;-23.4;25.1;79.5;0.0
1999-01-03T00:00:00Z;-25.0;6.6;78.4;0.0
1999-01-04T00:00:00Z;-24.0;12.4;75.8;0.0
1999-01-05T00:00:00Z;-25.1;4.5;77.7;0.0
1999-01-06T00:00:00Z;-26.2;12.4;83.0;0.0
1999-01-07T00:00:00Z;-28.4;17.3;76.4;0.0
1999-01-08T00:00:00Z;-28.0;16.3;77.1;0.0
1999-01-09T00:00:00Z;-27.3;18.8;77.0;0.0
1999-01-10T00:00:00Z;-25.8;29.8;78.6;0.0
1999-01-11T00:00:00Z;-28.7;27.5;74.1;0.0
1999-01-12T00:00:00Z;-23.4;38.5;71.7;0.0
1999-01-13T00:00:00Z;-22.8;31.8;80.3;0.0
1999-01-14T00:00:00Z;-23.7;29.7;78.6;0.0
1999-01-15T00:00:00Z;-24.3;21.2;77.8;0.0
1999-01-16T00:00:00Z;-28.8;13.6;76.3;0.0
1999-01-17T00:00:00Z;-29.8;9.7;76.6;0.0
1999-01-18T00:00:00Z;-25.4;27.0;78.2;0.0
1999-01-19T00:00:00Z;-20.2;24.2;82.5;0.0
1999-01-20T00:00:00Z;-26.4;27.4;76.8;0.0
1999-01-21T00:00:00Z;-28.8;11.5;76.7;0.0
1999-01-22T00:00:00Z;-22.5;27.5;80.9;0.0
1999-01-23T00:00:00Z;-23.4;38.7;79.6;0.0
1999-01-24T00:00:00Z;-23.8;25.8;69.0;0.0
1999-01-25T00:00:00Z;-28.9;24.7;69.5;0.0
1999-01-26T00:00:00Z;-28.2;31.6;75.4;0.0
1999-01-27T00:00:00Z;-26.5;21.1;78.3;0.0
1999-01-28T00:00:00Z;-32.7;36.6;73.5;0.0
1999-01-29T00:00:00Z;-29.1;16.7;76.7;0.0
1999-01-30T00:00:00Z;-26.1;24.0;78.4;0.0
1999-01-31T00:00:00Z;-25.5;29.4;78.8;0.0
1999-02-01T00:00:00Z;-22.8;30.7;78.9;0.0
1999-02-02T00:00:00Z;-24.4;0.3;72.0;0.0
1999-02-03T00:00:00Z;-28.1;19.1;77.1;0.0
1999-02-04T00:00:00Z;-26.1;27.6;76.7;0.0
1999-02-05T00:00:00Z;-20.1;32.1;81.4;0.0
1999-02-06T00:00:00Z;-26.4;23.8;77.8;0.0
1999-02-07T00:00:00Z;-26.1;22.2;78.2;0.0
1999-02-08T00:00:00Z;-27.8;20.3;76.8;0.0
1999-02-09T00:00:00Z;-28.2;26.3;76.4;0.0
1999-02-10T00:00:00Z;-27.7;18.9;79.9;0.0
1999-02-11T00:00:00Z;-29.1;17.0;77.5;0.0
1999-02-12T00:00:00Z;-29.8;20.9;75.5;0.0
1999-02-13T00:00:00Z;-27.8;16.7;74.3;0.0
1999-02-14T00:00:00Z;-29.7;13.9;72.8;0.0
